Disease,Symptoms,Remedies,How to Apply Remedies
Anxiety,"Restlessness, excessive worry, irritability, sleep disturbances", Ashwagandha: A herb known for its adaptogenic properties.   Brahmi: Calms the mind and enhances cognitive function. , Ashwagandha: Take 500 mg twice daily with milk or water.   Brahmi: Consume 300 mg twice daily as a supplement or in tea. 
Depression,"Persistent sadness, hopeless, depression, fatigue, low appetite", Saffron: Improves mood and emotional well-being.   Jatamansi: Supports mental health and reduces stress. ," Saffron: Add a pinch to warm milk or water once daily.   Jatamansi: Take 500 mg daily, preferably with a meal. "
Insomnia,"Difficulty falling asleep, frequent waking, daytime fatigue", Valerian Root: Promotes relaxation and improves sleep quality.   Shankhpushpi: Helps calm the mind and support sleep. , Valerian Root: Take 400-800 mg of the extract 30 minutes before bedtime.   Shankhpushpi: Take 500 mg daily before sleep. 
Stress,"Tension, stress headaches, muscle pain, irritability", Holy Basil (Tulsi): Reduces stress and enhances resilience.   Chamomile: Calms the nervous system and reduces anxiety. , Tulsi: Drink Tulsi tea twice daily.   Chamomile: Drink chamomile tea before bedtime to relax. 
ADHD,"Difficulty focusing, hyperactivity, impulsiveness", Brahmi: Enhances cognitive functions and concentration.  Vacha: Improves mental clarity and focus. , Brahmi: Take 300 mg twice daily with meals.  Vacha: Use 500 mg daily as a supplement. 
Memory Loss,"Forgetfulness, difficulty in recalling information, confusion", Gotu Kola: Improves memory and cognitive functions.  Ginseng: Enhances mental performance and alertness. ," Gotu Kola: Take 500 mg twice daily with meals.  Ginseng: Consume 200 mg daily, preferably in the morning. "
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, irregular bowel movements", Triphala: Supports digestive health and relieves IBS symptoms.  Psyllium Husk: Improves bowel regularity. , Triphala: Take 1 teaspoon of powder before bedtime with water.  Psyllium Husk: Mix 1-2 teaspoons in water daily. 
Fatigue,"Persistent tiredness, low energy, weakness", Ashwagandha: Boosts energy levels and reduces fatigue.  Shatavari: Supports overall vitality and energy. ," Ashwagandha: Take 500 mg twice daily with meals.  Shatavari: Consume 500 mg daily, preferably in the morning. "
Headaches,"Pain or discomfort in the head, headaches, sensitivity to light and sound", Peppermint: Relieves tension headaches.  Turmeric: Reduces inflammation and alleviates headache pain. , Peppermint: Apply diluted peppermint oil on the temples.  Turmeric: Add turmeric powder to meals or take as a supplement. 
High Blood Pressure,"Elevated blood pressure, headaches, dizziness", Garlic: Helps reduce blood pressure and improve cardiovascular health.  Hawthorn: Supports heart health and reduces blood pressure. ," Garlic: Consume 1-2 cloves of raw garlic daily or take garlic supplements.  Hawthorn: Take 300 mg daily, preferably with meals. "
Bipolar Disorder,"Extreme mood swings, irritability, emotional highs and lows", Brahmi: Stabilizes mood and supports emotional balance.  St. John's Wort: Assists in managing mood disorders. , Brahmi: Take 300 mg twice daily with meals.  St. John's Wort: Consume 300 mg of the extract daily with meals. 
Schizophrenia,"Hallucinations, delusions, disorganized thinking", Ashwagandha: Supports mental health and reduces symptoms.  Vacha: Helps with mental clarity and cognitive functions. , Ashwagandha: Take 500 mg twice daily with meals.  Vacha: Use 500 mg daily as a supplement. 
PTSD (Post-Traumatic Stress Disorder),"Flashbacks, nightmares, severe anxiety", Jatamansi: Reduces anxiety and promotes relaxation.  Tulsi: Supports mental resilience and reduces stress. ," Jatamansi: Take 500 mg daily, preferably with a meal.  Tulsi: Drink Tulsi tea twice daily. "
OCD (Obsessive-Compulsive Disorder),"Recurrent, intrusive thoughts, compulsive behaviors", Brahmi: Enhances mental focus and reduces obsessive thoughts.  Saffron: Assists in mood stabilization. , Brahmi: Take 300 mg twice daily with meals.  Saffron: Add a pinch to warm milk or water once daily. 
Cough,"Persistent coughing, cough, cough and cold, throat irritation, mucus production", Tulsi (Holy Basil): Provides relief from cough.  Ginger: Reduces throat inflammation and cough. , Tulsi: Brew Tulsi leaves in hot water and drink as tea twice daily.  Ginger: Drink ginger tea or chew fresh ginger. 
